season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
3,3,Boyle's Hunch,11 Oct. 2015,7.8,2400,"Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with inter-precinct theft and Holt seeks Amy's help with an image campaign."
3,4,The Oolong Slayer,18 Oct. 2015,8.5,2580,Jake and Holt both get in trouble when they work on a serial killer case together in secret. The Vulture asks Amy and Rosa set up his birthday party. Boyle introduces Terry to a delicious new snack.
3,5,Halloween III,25 Oct. 2015,9.0,3051,"For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room."
3,6,Into the Woods,8 Nov. 2015,7.8,2359,Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.
3,7,The Mattress,15 Nov. 2015,7.8,2351,"Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law."
3,8,Ava,22 Nov. 2015,8.2,2390,"Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct."
3,9,The Swedes,6 Dec. 2015,7.8,2418,"Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament."
3,10,Yippie Kayak,13 Dec. 2015,8.8,2712,"Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz."
3,11,Hostage Situation,5 Jan. 2016,7.7,2304,"Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her."
3,12,9 Days,19 Jan. 2016,8.0,2456,"Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it."
